[2026-04-29 23:42:00.695] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2026-04-29 23:42:00.696] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2026-04-29 23:42:00.696] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2026-04-29 23:42:00.698] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2026-04-29 23:42:00.701] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2026-04-29 23:42:00.701] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2026-04-29 23:42:00.702] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2026-04-29 23:42:00.702] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2026-04-29 23:42:00.703] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2026-04-29 23:42:00.704] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2026-04-29 23:42:00.842] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2026-04-29 23:42:00.842] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2026-04-29 23:42:00.843] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2026-04-29 23:42:00.846] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":9}
[2026-04-29 23:42:00.847] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2026-04-29 23:42:00.848] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2026-04-29 23:42:00.851] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":16}
[2026-04-29 23:42:00.851] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2026-04-29 23:42:00.854] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":20}
[2026-04-29 23:42:00.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2026-04-29 23:42:00.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":24}
[2026-04-29 23:42:00.860] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2026-04-29 23:42:00.860] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":27}
[2026-04-29 23:42:00.863] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":30}
[2026-04-29 23:42:00.863] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2026-04-29 23:42:00.865] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":33}
[2026-04-29 23:42:00.865] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2026-04-29 23:42:00.867] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2026-04-29 23:42:00.867] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2026-04-29 23:42:00.869] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":41}
[2026-04-29 23:42:00.869] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2026-04-29 23:42:00.870] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2026-04-29 23:42:00.871] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2026-04-29 23:42:00.872] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2026-04-29 23:42:00.872] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2026-04-29 23:42:00.874] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":51}
[2026-04-29 23:42:00.874] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2026-04-29 23:42:00.876] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2026-04-29 23:42:00.876] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2026-04-29 23:42:00.877] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2026-04-29 23:42:00.878] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":59}
[2026-04-29 23:42:00.880] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2026-04-29 23:42:00.880] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":63}
[2026-04-29 23:42:00.881] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":69}
[2026-04-29 23:42:00.881] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":73}
[2026-04-29 23:42:00.883] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":75}
[2026-04-29 23:42:00.885] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":78}
[2026-04-29 23:42:00.886] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":80}
[2026-04-29 23:42:00.887] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":83}
[2026-04-29 23:42:00.889] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":86}
[2026-04-29 23:42:00.889] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2026-04-29 23:42:00.890] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2026-04-29 23:42:00.890] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":89}
[2026-04-29 23:42:00.893] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":92}
[2026-04-29 23:42:00.893] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":94}
[2026-04-29 23:42:00.894] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":98}
[2026-04-29 23:42:00.896] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2026-04-29 23:42:00.896] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2026-04-29 23:42:01.053] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2026-04-29 23:42:01.068] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2026-04-29 23:42:01.081] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2026-04-29 23:42:01.084] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2026-04-29 23:42:01.089] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2026-04-29 23:42:01.100] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2026-04-29 23:42:01.109] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2026-04-29 23:42:01.112] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2026-04-29 23:42:01.115] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2026-04-29 23:42:01.119] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2026-04-29 23:42:01.131] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2026-04-29 23:42:01.133] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2026-04-29 23:42:01.140] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2026-04-29 23:42:01.142] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2026-04-29 23:42:01.143] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2026-04-29 23:42:01.145] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2026-04-29 23:42:01.147] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2026-04-29 23:42:01.157] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2026-04-29 23:42:01.159] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2026-04-29 23:42:01.161] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2026-04-29 23:42:01.167] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2026-04-29 23:42:01.170] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2026-04-29 23:42:01.173] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2026-04-29 23:42:01.174] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2026-04-29 23:42:01.177] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2026-04-29 23:42:01.181] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2026-04-29 23:42:01.181] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2026-04-29 23:42:01.182] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2026-04-29 23:42:01.185] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":29}
[2026-04-29 23:42:01.186] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":30}
[2026-04-29 23:42:01.188] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":31}
[2026-04-29 23:42:01.192] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":32}
[2026-04-29 23:42:01.194] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2026-04-29 23:42:01.197] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2026-04-29 23:42:01.200] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2026-04-29 23:42:01.207] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2026-04-29 23:42:01.208] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2026-04-29 23:42:01.211] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
[2026-04-29 23:42:01.212] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":39}
[2026-04-29 23:42:01.214] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":40}
[2026-04-29 23:42:01.214] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":41}
[2026-04-29 23:42:01.215] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":42}
[2026-04-29 23:42:01.216] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":43}
[2026-04-29 23:42:01.217] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":44}
[2026-04-29 23:42:01.219] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":45}
[2026-04-29 23:42:01.221] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":46}
[2026-04-29 23:42:01.222] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":47}
[2026-04-29 23:42:01.223] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":48}
[2026-04-29 23:42:01.229] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":49}
[2026-04-29 23:42:01.231] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":50}
[2026-04-29 23:42:01.233] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":51}
[2026-04-29 23:42:01.236] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":52}
[2026-04-29 23:42:01.238] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":53}
[2026-04-29 23:42:01.241] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":54}
[2026-04-29 23:42:01.243] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":55}
[2026-04-29 23:42:01.244] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":56}
[2026-04-29 23:42:01.246] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":57}
[2026-04-29 23:42:01.247] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":58}
[2026-04-29 23:42:01.247] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":59}
[2026-04-29 23:42:01.248] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":60}
[2026-04-29 23:42:01.249] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":61}
[2026-04-29 23:42:01.254] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":62}
[2026-04-29 23:42:01.258] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":63}
[2026-04-29 23:42:01.260] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":64}
[2026-04-29 23:42:01.263] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":65}
[2026-04-29 23:42:01.267] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":67}
[2026-04-29 23:42:01.268] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":68}
[2026-04-29 23:42:01.268] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":69}
[2026-04-29 23:42:01.269] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":70}
[2026-04-29 23:42:01.270] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":71}
[2026-04-29 23:42:01.272] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":72}
[2026-04-29 23:42:01.273] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":73}
[2026-04-29 23:42:01.274] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":74}
[2026-04-29 23:42:01.276] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":75}
[2026-04-29 23:42:01.277] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":76}
[2026-04-29 23:42:01.278] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":77}
[2026-04-29 23:42:01.279] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":78}
[2026-04-29 23:42:01.280] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":79}
[2026-04-29 23:42:01.281] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":80}
[2026-04-29 23:42:01.287] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":81}
[2026-04-29 23:42:01.288] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":82}
[2026-04-29 23:42:01.289] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":83}
[2026-04-29 23:42:01.291] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":84}
[2026-04-29 23:42:01.293] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":85}
[2026-04-29 23:42:01.295] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":86}
[2026-04-29 23:42:01.298] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":87}
[2026-04-29 23:42:01.299] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":88}
[2026-04-29 23:42:01.299] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":89}
[2026-04-29 23:42:01.300] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":90}
[2026-04-29 23:42:01.302] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":91}
[2026-04-29 23:42:01.302] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":92}
[2026-04-29 23:42:01.304] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":93}
[2026-04-29 23:42:01.305] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":94}
[2026-04-29 23:42:01.305] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":95}
[2026-04-29 23:42:01.307] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":96}
[2026-04-29 23:42:01.308] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":97}
[2026-04-29 23:42:01.309] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":98}
[2026-04-29 23:42:01.311] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":99}
[2026-04-29 23:42:01.313] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":100}
[2026-04-29 23:42:01.314] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6}
[2026-04-29 23:42:01.489] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":1}
[2026-04-29 23:42:01.491] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":2}
[2026-04-29 23:42:01.491] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":3}
[2026-04-29 23:42:01.492] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":4}
[2026-04-29 23:42:01.493] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":5}
[2026-04-29 23:42:01.494] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":6}
[2026-04-29 23:42:01.495] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":7}
[2026-04-29 23:42:01.497] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":8}
